,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
47,小可地瓜球 (桃園南豐店),n7fs,1,['甜點'],False,15.0,79.0,30.0,15.0,0.5170392932428491,293
48,Pizza Hut必勝客 (平鎮中豐店),a7sf,2,"['披薩', '歐美']",False,15.0,79.0,25.0,10.0,0.6164899565062765,3994
49,85度C (平鎮南京店),fldq,2,"['甜點', '咖啡', '蛋糕']",False,15.0,79.0,25.0,5.0,2.2925142394872355,456
50,金龍豆漿 (桃園龍潭店),g4ti,2,['小吃'],False,15.0,79.0,30.0,5.0,3.520812003212771,3959
51,二堂頭 (平鎮上海店),o4gm,2,"['湯品', '便當', '台式']",False,15.0,79.0,25.0,5.0,1.9168137272189387,5324
52,麥當勞 (S166 平鎮中豐店),b4gs,2,"['漢堡', '歐美']",False,15.0,79.0,25.0,10.0,0.4917917579550745,15946
53,四海遊龍 (平鎮中豐店),b8bj,2,"['台式', '餃子']",False,15.0,79.0,20.0,5.0,0.45841496791253344,4251
54,吳家鴨香飯 (平鎮山仔頂店),q3yg,2,"['湯品', '台式']",False,15.0,79.0,30.0,15.0,0.6109180435599869,5803
55,七嘴八舌滷味 (平鎮山子頂店),d7ct,2,['小吃'],False,15.0,79.0,20.0,5.0,0.384721525807924,1797
56,八方雲集 (平鎮山子頂店),t6ry,2,"['台式', '餃子']",False,15.0,79.0,20.0,5.0,0.4254052453787227,1528
57,合浦刀切麵食工坊 (平鎮自由店),qjtp,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,0.9355992669260222,981
58,開源社香雞排 (平鎮中豐店),a2df,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,0.4030236439070245,2618
59,SUBWAY (平鎮中豐店),c1tv,2,['歐美'],False,15.0,79.0,25.0,10.0,0.5516325150054673,134
60,艋舺飯糰蛋餅,r7ao,2,['台式'],False,15.0,79.0,25.0,5.0,1.7271978762626903,3159
61,CoCo都可 (平鎮山頂店),b33e,2,['飲料'],False,15.0,79.0,20.0,5.0,0.589618715013291,372
62,緣杏粥飯麵館 (平鎮南豐店),a8kn,2,"['麵食', '粥', '台式']",False,15.0,79.0,25.0,10.0,0.7327752474828393,2138
63,3Q脆皮雞排 (平鎮南豐店),q8jy,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,5.0,0.6720352814364366,1459
64,黑鬍子牛排 (桃園平鎮店),ru2d,2,"['台式', '牛排']",False,15.0,79.0,25.0,5.0,0.6703974536056632,934
65,可不可熟成紅茶 (平鎮南豐店),hcri,1,['飲料'],False,15.0,79.0,20.0,5.0,0.497899829145175,190
66,紅吱吱牛排 (桃園平鎮店),p1gg,2,"['歐美', '牛排']",True,15.0,79.0,25.0,10.0,0.6196526582938618,1902
67,紅豆桑 (山頂店),a0py,1,['甜點'],False,15.0,79.0,20.0,5.0,0.49074083273893754,1612
68,Yes幸福時刻炒泡麵,a2zf,2,['台式'],False,15.0,79.0,25.0,5.0,0.7630347347930256,3791
69,85度C (平鎮中豐店),j2wu,2,"['甜點', '咖啡', '蛋糕']",False,15.0,79.0,20.0,5.0,0.44695945168470314,1405
70,Tea's原味 (桃園山仔頂店),t6qb,2,['飲料'],False,15.0,79.0,20.0,5.0,0.5789979378948292,2220
71,極上餐飲 (桃園中豐店),m1gn,2,"['便當', '台式']",False,15.0,79.0,25.0,10.0,0.39891803141376797,511
72,福勝亭 (4642平鎮店),v7gr,2,"['咖哩', '日式']",False,15.0,79.0,25.0,10.0,0.6507596648125206,934
73,吮指王 (百年-龍平店),g2yc,2,"['台式', '炸雞']",False,15.0,79.0,25.0,5.0,1.27386273695694,1084
74,台灣奶雞 南洋G排專賣,ulej,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,10.0,0.2045637927296649,64
75,粥董,zdfa,2,"['粥', '台式']",False,15.0,79.0,30.0,5.0,3.1497936012664924,3030
76,定食8 (平鎮家樂福店),h7th,2,"['便當', '日式']",False,15.0,79.0,25.0,10.0,0.6597799638931134,1140
77,台北麻將麻辣臭豆腐-平鎮南勢店,i9yz,2,"['火鍋', '台式']",False,15.0,79.0,35.0,15.0,1.9851394655888543,3061
78,清心福全 (龍潭聖亭店),wsxw,2,['飲料'],False,15.0,79.0,25.0,5.0,1.864048518576073,733
79,拿坡里 (8228平鎮店),jq0s,3,"['披薩', '歐美', '炸雞']",False,15.0,79.0,30.0,15.0,0.6538093111703214,676
80,二堂頭銷魂鴨肉飯 (龍潭北龍店),k6g5,2,"['湯品', '便當', '台式']",False,15.0,79.0,30.0,10.0,3.1531572416751437,1518
81,分享食堂,pltr,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,0.26450968779930534,40
82,寶兒雞排,ey5a,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,5.0,1.3434262832462742,272
83,雙醬咖哩 (桃園南安店),b0al,2,"['咖哩', '日式']",False,15.0,79.0,25.0,5.0,2.127626578022175,2236
84,雞媽媽,gtdb,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,10.0,0.6467250134128207,223
85,豐 大腸蚵仔麵線 (平鎮福壽店),hk0v,2,"['麵食', '小吃']",False,15.0,79.0,20.0,5.0,0.6271700780489559,43
86,佰元鍋時尚湯鍋 (桃園山仔頂店),a4mc,2,"['火鍋', '台式']",False,15.0,79.0,35.0,15.0,0.6537170596633571,1804
87,潮味決-麻辣燙 燒滷味 (桃園中庸店),z7gq,2,['台式'],False,15.0,79.0,30.0,10.0,1.912020041532388,1308
88,日船章魚小丸子 (桃園南豐店),n8pa,1,['日式'],False,15.0,79.0,30.0,15.0,0.5170392932428491,364
89,龜記茗品 (桃園南勢店),mntw,2,['飲料'],False,15.0,79.0,25.0,5.0,2.1717932443683736,329
90,古拉爵 (桃園家樂福平鎮店),j9gj,3,"['披薩', '歐美']",False,15.0,79.0,30.0,15.0,0.6601098803059678,833
91,Q烏龍麵舖,m3jw,2,"['麵食', '台式']",False,15.0,79.0,35.0,20.0,0.24343887043179213,1731
92,五國真湯 (平鎮上海店),s4xd,2,"['麵食', '日式']",False,15.0,79.0,25.0,5.0,2.2343509073699295,1135
93,85度C (龍潭龍平店),b6sb,2,"['甜點', '咖啡', '蛋糕']",False,15.0,79.0,25.0,5.0,1.2338303334326983,2022
94,小可地瓜球 (桃園南豐店),n7fs,1,['甜點'],False,15.0,79.0,30.0,15.0,0.5170392932428491,293
95,すき家 Sukiya (桃園龍潭店),mmj2,2,"['便當', '日式']",False,15.0,79.0,30.0,5.0,3.1993406690416117,3107
96,(極)黃燜雞米飯 (龍潭龍元店),doj2,2,['中式'],False,15.0,79.0,30.0,10.0,3.643952036597624,997
97,米干,foef,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,5.0,1.9064929284090617,771
