,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
49,斗六門當歸鴨 台中黎明店,g3nu,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,0.42284201007584304,2364
50,鴨王鴨肉飯 (台中向上店),z4jg,2,"['湯品', '台式']",True,15.0,79.0,30.0,15.0,1.8017131767338055,8368
51,3鼎紅麻辣鴨血臭豆腐 (南屯黎明店),imxx,2,['小吃'],False,15.0,79.0,20.0,5.0,1.576322290611577,221
52,ㄚ將古法碳烤 (台中南屯店),h1qe,2,['小吃'],False,15.0,79.0,25.0,15.0,0.54751291285636,11
53,餓了台式丼飯(上石店),a9uw,2,['台式'],False,15.0,79.0,20.0,5.0,1.8860472405107438,5685
54,周記豆花 (台中黎明店),y8ae,2,['甜點'],False,15.0,79.0,25.0,10.0,1.4867311033043047,2008
55,新井茶 (台中精誠店),a1qb,1,['飲料'],False,15.0,79.0,20.0,5.0,1.7293770802076742,662
56,小羅馬義大利麵,f3ez,2,"['歐美', '麵食']",False,15.0,79.0,20.0,5.0,0.38849924472519826,1078
57,頂呱呱TKK (台中南屯店),qn5z,2,"['歐美', '炸雞']",False,15.0,79.0,20.0,5.0,1.080474699587337,463
58,肉鮮生Mr.M.EAT韓式烤肉 (台中文心店),i28p,2,"['韓式', '便當', '炸雞']",False,15.0,79.0,40.0,20.0,1.8740545955582413,28
59,信川屋博多豚骨拉麵店,jbvp,2,"['麵食', '日式']",False,15.0,79.0,35.0,15.0,2.489714471221599,10
60,阿Q茶舍 (台中大墩店),lxrl,2,"['便當', '麵食', '火鍋', '台式']",False,15.0,79.0,60.0,45.0,1.5145512983406002,8
61,235巷義大利麵 (台中公益店),e8iz,2,"['歐美', '麵食']",False,15.0,79.0,20.0,10.0,0.535399925870289,5602
62,偷偷甜點 Toutou Cuisine,c2n8,2,"['甜點', '蛋糕']",False,15.0,79.0,25.0,5.0,2.055710766439198,95
63,大江戶町鰻屋 (台中大墩店),gku3,3,['日式'],False,15.0,79.0,30.0,10.0,2.167480499755068,47
64,bistro88義法餐酒館,avls,3,['歐美'],False,15.0,79.0,25.0,10.0,1.2208956682090506,40
65,麗媽四季鍋 (台中漢口店),as02,2,"['火鍋', '台式']",False,15.0,79.0,40.0,20.0,2.424435614659279,130
66,大漁迴轉壽司 (台中創始店),tbgl,3,['日式'],False,15.0,79.0,25.0,5.0,2.028713633144722,28
67,北回木瓜牛奶 (台中逢甲總店),xrhm,2,['飲料'],False,15.0,79.0,30.0,15.0,2.7329465513426756,392
68,霸味羊肉爐 (台中福科店),u45p,3,"['火鍋', '台式']",False,15.0,79.0,25.0,5.0,3.443966014844477,37
69,台灣真有味鹽酥雞,rla0,2,"['小吃', '炸雞']",False,15.0,79.0,35.0,15.0,3.3071202484575073,117
70,小西藏館,ze1b,3,"['麵食', '異國']",False,15.0,79.0,25.0,5.0,2.731980701318773,13
71,麻辣火少爺 (台中漢口店),g2xg,2,"['火鍋', '台式']",False,15.0,79.0,45.0,25.0,3.644427030521121,389
72,千味海鮮餐廳,w1en,3,['台式'],False,15.0,79.0,25.0,5.0,2.296833028647532,149
73,阿三哥擔仔麵 (台中青海店),yx9m,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,5.0,2.243819260205827,305
74,鵝媽媽總店,c3ko,2,"['湯品', '麵食', '台式']",True,15.0,79.0,25.0,5.0,2.385974171177194,1332
75,上上水餃 (台中總店),sdbe,1,"['麵食', '台式', '餃子']",False,15.0,79.0,25.0,5.0,2.3028567965233977,63
76,馬岡豆花 (台中東興店),yenn,2,['甜點'],False,15.0,79.0,25.0,10.0,2.197734135096543,171
77,湯馥招牌石頭鍋 (南屯大業總店),zksv,2,"['火鍋', '台式']",False,15.0,79.0,35.0,20.0,1.1005507850517335,155
78,魚市米糕,bgrg,2,"['麵食', '小吃']",False,15.0,79.0,25.0,5.0,2.382838993782354,77
79,上安美食傳統肉粥,d2cj,2,"['粥', '台式']",False,15.0,79.0,25.0,10.0,2.3055677880860364,1053
80,順億鮪魚專賣店 (台中忠明店),wya0,3,['日式'],False,15.0,79.0,20.0,5.0,1.9407531487045127,529
81,樹丼食堂,z0tb,2,"['便當', '日式']",True,15.0,79.0,25.0,5.0,2.2263372229452747,1272
82,大王麻辣乾麵,rl7t,2,"['麵食', '台式']",False,15.0,79.0,35.0,15.0,2.7242243606722725,183
83,品心港式飲茶 (台中公益店),fnno,3,"['湯品', '麵食', '港式']",False,15.0,79.0,25.0,10.0,1.0401900912442934,13
84,大麻粉圓,gs5q,1,['甜點'],False,15.0,79.0,35.0,15.0,3.059745067583633,233
85,HUN貳 (逢甲店),d10g,3,"['歐美', '麵食']",False,15.0,79.0,30.0,5.0,3.490235852439328,903
86,牛比蔥壽喜燒鍋物專門店 (台中文心店),dzch,2,"['火鍋', '日式']",False,15.0,79.0,25.0,10.0,1.849592974642252,37
87,村口微光 (台中逢甲店),zqfh,3,"['歐美', '麵食']",False,15.0,79.0,30.0,10.0,3.0747955690710778,183
88,大漁迴轉壽司 (台中總本店),uldf,3,['日式'],False,15.0,79.0,25.0,5.0,2.2011149055498818,26
89,石庭 兼六園,o8hz,3,['日式'],False,15.0,79.0,25.0,15.0,0.48012813023735235,2
90,京華煙雲,w0np,3,['中式'],False,15.0,79.0,25.0,5.0,3.169902708025127,238
91,扒穀扒穀パクパク燒肉丼飯 (台中黎明店),k7qx,2,"['便當', '日式']",False,15.0,79.0,20.0,5.0,0.3228527837881531,470
92,烏龍麵所 (台中河南店),k3uq,2,"['麵食', '日式']",False,15.0,79.0,20.0,5.0,0.3905569078923545,2070
93,公益麵攤 (台中向上店),gxq9,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,0.7487864613391131,449
94,麥當勞 (S516 台中黎明二店),g3ru,2,"['漢堡', '歐美']",False,15.0,79.0,20.0,10.0,0.31659962913636136,2507
95,八米澤鐵板燒 (台中黎明店),z2ic,2,"['鐵板燒', '台式']",False,15.0,79.0,20.0,5.0,0.5206613402277783,2540
96,Home 28咖哩 (台中大隆店),c2e5,2,"['咖哩', '日式']",False,15.0,79.0,20.0,5.0,1.5440536459507919,1357
97,漢林鐵板燒 (台中河南店),z6ug,2,"['鐵板燒', '台式']",False,15.0,79.0,20.0,5.0,0.48545910067307435,2003
98,二哥雞排,y5zg,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,10.0,0.9602214420453126,5289
99,鬍鬚張魯肉飯 (台中公益店),y4je,2,"['便當', '台式']",False,15.0,79.0,20.0,5.0,0.3620323682821004,3502
100,鬍記鹹酥雞 (台中河南店),y1lt,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,0.5486211697019567,2183
101,初本粥舖 (台中東興店),a8jp,2,"['粥', '台式']",False,15.0,79.0,20.0,5.0,1.7988092324264173,5394
102,專賣麵義大利麵 (南屯五權店),p13v,2,"['歐美', '麵食']",False,15.0,79.0,20.0,5.0,1.0464333126206602,787
103,享喫麵線 台北甜不辣 (台中黎明店),z3qq,1,"['麵食', '小吃']",False,15.0,79.0,15.0,5.0,0.30002503421715343,1857
104,初心手作壽司 (台中公益店),bufe,2,['日式'],False,15.0,79.0,20.0,5.0,0.2135608680033646,310
105,鮮五丼 (台中黎明店 4833),n2ct,2,"['咖哩', '日式']",False,15.0,79.0,20.0,5.0,0.43031277796617595,1680
106,韓家正宗韓國料理,h0if,2,"['韓式', '炸雞']",False,15.0,79.0,20.0,5.0,1.0474244268086317,1947
