,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
49,鴨王鴨肉飯 (台中建成店),mgi7,2,"['湯品', '便當', '台式']",False,15.0,79.0,25.0,5.0,3.357069432638779,577
50,潮味決．湯滷專門店 (大里成功分社),t0eh,2,['台式'],False,15.0,79.0,25.0,10.0,2.902773311847964,175
51,鑫淼棧烤肉飯,ok1j,2,['台式'],False,15.0,79.0,25.0,5.0,3.568118141815933,262
52,胖老爹美式炸雞 (大里立人店),bo2z,2,"['歐美', '炸雞']",False,15.0,79.0,35.0,15.0,2.8953865112655066,214
53,Burger King 漢堡王 (台中大里店),e4pf,2,"['漢堡', '歐美']",False,15.0,79.0,25.0,5.0,3.7209154840251926,4156
54,專賣麵義大利麵 (大里中興店),l84l,2,"['歐美', '麵食']",False,15.0,79.0,30.0,15.0,3.4096259473204866,894
55,華山藏窖人文茶飲 (大里成功店),wff0,2,['飲料'],False,15.0,79.0,20.0,5.0,2.597275707791002,1725
56,胖老爹美式炸雞 (大里國光店),kxg1,2,"['歐美', '炸雞']",False,15.0,79.0,35.0,15.0,3.8002352079337216,68
57,阿Q茶舍 (台中大里店),hpk1,2,"['便當', '麵食', '台式']",False,15.0,79.0,65.0,45.0,3.6411153070057516,10
58,忠孝夜市炎伯紅茶,txke,2,['飲料'],False,15.0,79.0,25.0,10.0,3.8570533422268243,1087
59,品心港式飲茶 (台中大里店),tbcb,3,"['湯品', '麵食', '港式']",False,15.0,79.0,30.0,10.0,3.7107873123797153,27
60,客家本色 (台中大里店),j0zw,3,['台式'],False,15.0,79.0,30.0,10.0,3.4481747757670558,537
61,魯夫滷味 (台中大里成功店),a1sy,2,['小吃'],True,15.0,79.0,25.0,10.0,2.9627363835543337,1434
62,美滿小籠湯包,pxfp,2,"['中式', '麵食']",True,15.0,79.0,30.0,15.0,2.741885418432532,194
63,麥當勞 (S252 太平中興店),b8ar,2,"['漢堡', '歐美']",False,15.0,79.0,20.0,10.0,1.6962243200768115,12105
64,餓了台式丼飯 (台中太平店),s3ob,2,['台式'],False,15.0,79.0,20.0,5.0,1.8962288557332505,9085
65,吉蜂蒸餃 (台中太平店),ju2p,2,"['台式', '餃子']",False,15.0,79.0,20.0,5.0,1.6069478808955908,594
66,粥膳海鮮粥,l6wd,2,"['湯品', '粥', '台式']",False,15.0,79.0,15.0,5.0,0.4282118543665049,104
67,品香廣東粥壽司,e9cp,2,"['中式', '粥']",False,15.0,79.0,20.0,10.0,0.3567663813020484,1078
68,50嵐 (太平中興店),w20y,2,['飲料'],False,15.0,79.0,20.0,5.0,1.6241076215751424,102
69,六六牛排 (太平長億店),t8ah,2,"['台式', '牛排']",False,15.0,79.0,15.0,5.0,0.5656553489935218,625
70,薪食漟-永成北店,jkt2,2,"['小吃', '炸雞']",False,15.0,79.0,15.0,5.0,0.5792059805497528,123
71,肯德基KFC炸雞漢堡店 (大里中興二店),z4qk,2,"['甜點', '漢堡', '歐美', '炸雞']",True,15.0,79.0,20.0,5.0,2.698939464572646,3520
72,永和豆漿大王,yar2,1,['小吃'],False,15.0,79.0,25.0,10.0,2.0146133557467585,839
73,紅帽炸物 (太平長億店),hpkb,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,0.8073355979945896,36
74,525滷肉飯(平價餐飲),k5iu,2,"['麵食', '台式']",False,15.0,79.0,20.0,5.0,1.4439252729176106,1139
75,台中小鎮關東煮,a7fo,2,"['湯品', '小吃', '日式']",False,15.0,79.0,20.0,5.0,0.8304955719512177,1504
76,台北江麻辣臭豆腐 (台中太平店),r3hl,2,"['火鍋', '台式']",False,15.0,79.0,30.0,15.0,1.518433740483595,2012
77,九湯屋日式拉麵 (台中大里店),a3nm,2,"['麵食', '日式']",False,15.0,79.0,20.0,5.0,2.639304600943205,2709
78,漢林鐵板燒 (台中中興東店),a6yy,2,"['鐵板燒', '台式']",False,15.0,79.0,20.0,5.0,2.105005408401453,2562
79,大漠蒙古麻辣燙 (台中大里店),pqp8,2,['小吃'],False,15.0,79.0,25.0,5.0,2.7433171587423386,1667
80,三媽臭臭鍋 (台中太平店),b7uc,2,"['火鍋', '台式']",False,15.0,79.0,30.0,15.0,0.994087660164454,2679
81,小佐お茶作 (太平長億店),iabn,1,['飲料'],False,15.0,79.0,15.0,5.0,0.9560137523681125,241
82,6食號肉燥飯 水餃,izg8,2,"['麵食', '台式']",True,15.0,79.0,30.0,15.0,1.4452516665456903,100
83,喫茶小舖 (太平長億店),b8ry,1,['飲料'],False,15.0,79.0,15.0,5.0,0.9390774300895709,1093
84,Tea's原味 (太平長億店),i14p,2,['飲料'],False,15.0,79.0,15.0,5.0,0.6090112705435662,115
85,太平屏東鵝肉店,f1lq,2,"['湯品', '麵食', '台式']",False,15.0,79.0,15.0,5.0,0.7684421467194003,223
86,飯田食處,aj54,2,"['便當', '台式']",False,15.0,79.0,20.0,5.0,2.8721419647237094,838
87,玉口香扁食園 (大里成功店),b8pe,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,5.0,2.626667345967362,3217
88,Home28咖哩 (台中大里店),jg61,2,"['咖哩', '日式']",False,15.0,79.0,25.0,5.0,3.2900099516845436,612
89,老香雞湯燒 (台中大里店),jnh4,2,['台式'],False,15.0,79.0,20.0,5.0,2.951196451382929,111
90,林記飯館 (大里塗城店),ju1l,2,"['湯品', '便當', '台式']",False,15.0,79.0,25.0,5.0,3.030154464871851,1089
91,火星窯烤披薩5號車,e9kf,2,"['披薩', '歐美']",False,15.0,79.0,20.0,5.0,0.8802335049806238,996
92,社頭鍋貼專賣店,b9tl,2,"['麵食', '台式', '餃子']",False,15.0,79.0,20.0,5.0,2.1492515500224316,2419
