,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,宮本武丼 (雲林斗六店),nsrt,2,"['便當', '日式']",False,19.0,79.0,20.0,5.0,2.9641762677719696,204
1,菁囍Double Like (雲林斗六店),gooe,2,['飲料'],False,19.0,79.0,20.0,10.0,2.683644567050628,308
2,联亭泡菜鍋 (雲林斗六店),o1ct,2,"['火鍋', '台式']",False,19.0,79.0,35.0,20.0,3.4162624124234524,867
3,醬子美食餐廳,b4ps,2,"['麵食', '台式']",True,19.0,79.0,35.0,20.0,2.6624146321312305,709
4,格寧貳貳 (斗六店),h1bq,2,['台式'],False,19.0,79.0,20.0,10.0,2.536781124028591,4278
5,麥當勞 (S235 斗六雲林店),d5ur,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,10.0,3.4098126710073458,13987
6,肯德基KFC炸雞漢堡店 (斗六民生店),b0aj,2,"['甜點', '漢堡', '歐美', '炸雞']",True,19.0,79.0,20.0,5.0,2.9206583916921995,5177
7,八米澤鐵板燒 (斗六店),a9ea,2,"['鐵板燒', '台式']",False,19.0,79.0,20.0,5.0,2.886556233090768,2166
8,皇嘉水餃&涼食,i4k5,2,"['小吃', '餃子']",False,19.0,79.0,15.0,10.0,1.4490002824194617,26
9,高師傅蛋餅,f5ab,1,['台式'],False,19.0,79.0,15.0,5.0,2.730487672433643,2047
10,狀元廣東粥,e0ll,1,"['中式', '粥']",False,19.0,79.0,20.0,5.0,3.427560323919776,2530
11,職人雙饗丼 (雲林斗六店),h8qn,2,"['便當', '日式']",False,19.0,79.0,20.0,5.0,2.9074231521895735,1934
12,李記燒肉,b1ng,2,"['湯品', '便當', '台式']",False,19.0,79.0,20.0,5.0,3.011362465372085,2616
13,台灣第一家鹽酥雞 (斗六成功店),m0gm,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,2.9584614716764586,906
14,韓式厚片煎餅,unj1,2,"['韓式', '湯品', '麵食']",False,19.0,79.0,20.0,10.0,1.4436530622354151,14
15,甘乃滴冷泡飲 (雲林斗六店),ed11,1,['飲料'],False,19.0,79.0,15.0,5.0,1.4699915308010256,39
16,小張食堂 牛肉麵,soy7,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,2.906118231936234,385
17,50嵐 (斗六中山店),dfbr,2,['飲料'],False,19.0,79.0,20.0,5.0,2.8785764345296907,1906
18,劉妹鍋燒意麵 (雲林斗六店),ykz1,2,"['麵食', '台式']",False,19.0,79.0,15.0,5.0,2.2957969677605847,53
19,中華鍋貼.水餃專賣店,d5cz,2,"['湯品', '台式', '餃子']",False,19.0,79.0,20.0,10.0,3.3025088361765076,1998
20,五花馬水餃館 (雲林斗六門市),cz5g,2,"['湯品', '台式', '餃子']",False,19.0,79.0,25.0,10.0,3.42867602253407,801
21,烏弄 (斗六中山店),hppb,2,['飲料'],False,19.0,79.0,15.0,5.0,2.636196164161219,202
22,迷客夏 Milksha (雲林斗六店),smnh,2,['飲料'],False,19.0,79.0,15.0,5.0,2.701221607500464,340
23,慶鴻小籠包,e2wu,2,"['中式', '湯品', '餃子']",False,19.0,79.0,20.0,10.0,3.102725811598331,2230
24,紅磚輕食,q8oy,2,['台式'],False,19.0,79.0,30.0,20.0,3.2858717290926247,2370
25,Pizza Hut必勝客 (雲林斗六店),b1mu,2,"['披薩', '歐美']",False,19.0,79.0,25.0,10.0,3.3748697900992166,4857
26,亞都鐵板燒,a0vh,2,"['鐵板燒', '台式']",False,19.0,79.0,20.0,5.0,3.340016478646833,2634
27,紅麥田炸雞 (斗六鎮南店),oz1x,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,3.1521026789811515,1421
28,順風雞排 ( 雲林斗六店 ),a3cw,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,2.8019546766503867,2681
29,叁記刈包,u8dd,2,['台式'],False,19.0,79.0,20.0,5.0,3.0370181903617337,1774
30,巧之脆中美式炸雞 (斗六總店),nh39,2,"['歐美', '炸雞']",False,19.0,79.0,25.0,15.0,3.2112577328222587,196
31,可不可熟成紅茶 (雲林斗六店),jmbk,1,['飲料'],False,19.0,79.0,20.0,5.0,3.080952718096554,1374
32,九湯屋日式拉麵 (雲林斗六店),b6df,2,"['麵食', '日式']",False,19.0,79.0,20.0,5.0,3.510110748615615,1173
33,爭鮮迴轉壽司 (斗六店),n9rd,2,['日式'],False,19.0,79.0,20.0,5.0,3.1908311840862607,1884
34,小木屋鬆餅 (雲林斗六店),l15b,2,['甜點'],False,19.0,79.0,20.0,10.0,2.9954209444062934,293
35,萬波島嶼紅茶 (斗六民生店),uile,2,['飲料'],False,19.0,79.0,20.0,5.0,2.7608679044306275,522
36,龜記茗品 (斗六中山店),ws13,2,['飲料'],False,19.0,79.0,15.0,5.0,2.6656920753592597,80
37,摩斯漢堡Mos Burger (斗六店),a6ur,2,"['漢堡', '日式']",False,19.0,79.0,30.0,15.0,3.6994975203712217,5583
38,菲比棧複合式餐飲,efn2,2,['台式'],False,19.0,79.0,20.0,10.0,3.384062550889768,292
39,白巷子(斗六中山店),m7uu,2,['飲料'],False,19.0,79.0,20.0,5.0,2.7807985430802247,1730
40,徐魷魚羹,tz8n,1,['台式'],False,19.0,79.0,20.0,5.0,3.3737328513385423,235
41,鬥牛平價牛排 (雲林斗六店),ug3g,2,"['歐美', '牛排']",False,19.0,79.0,20.0,5.0,3.35287133940022,84
42,蔡記 炒飯 炒麵,th2x,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,2.885228297712448,192
43,陳家魯肉飯,x9yz,1,"['湯品', '便當', '台式']",False,19.0,79.0,20.0,5.0,3.6624171440288453,809
44,阿雞師鹹水雞.滷味,l6wn,2,['小吃'],False,19.0,79.0,20.0,10.0,2.78779632009332,699
45,大苑子 (斗六中山店),a4np,2,['飲料'],False,19.0,79.0,15.0,5.0,2.661128381163585,1734
46,斗六一中豪大雞排,a0eo,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,2.9039111439687737,1954
47,斗六東市碳烤,pqnd,2,['小吃'],False,19.0,79.0,25.0,10.0,3.3707763676826668,136
48,菁囍Double Like (雲林斗六店),gooe,2,['飲料'],False,19.0,79.0,20.0,10.0,2.683644567050628,308
49,联亭泡菜鍋 (雲林斗六店),o1ct,2,"['火鍋', '台式']",False,19.0,79.0,35.0,20.0,3.4162624124234524,867
50,醬子美食餐廳,b4ps,2,"['麵食', '台式']",True,19.0,79.0,35.0,20.0,2.6624146321312305,709
51,格寧貳貳 (斗六店),h1bq,2,['台式'],False,19.0,79.0,20.0,10.0,2.536781124028591,4278
52,麥當勞 (S235 斗六雲林店),d5ur,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,10.0,3.4098126710073458,13987
53,肯德基KFC炸雞漢堡店 (斗六民生店),b0aj,2,"['甜點', '漢堡', '歐美', '炸雞']",True,19.0,79.0,20.0,5.0,2.9206583916921995,5177
54,八米澤鐵板燒 (斗六店),a9ea,2,"['鐵板燒', '台式']",False,19.0,79.0,20.0,5.0,2.886556233090768,2166
55,皇嘉水餃&涼食,i4k5,2,"['小吃', '餃子']",False,19.0,79.0,15.0,10.0,1.4490002824194617,26
56,高師傅蛋餅,f5ab,1,['台式'],False,19.0,79.0,15.0,5.0,2.730487672433643,2047
57,狀元廣東粥,e0ll,1,"['中式', '粥']",False,19.0,79.0,20.0,5.0,3.427560323919776,2530
58,職人雙饗丼 (雲林斗六店),h8qn,2,"['便當', '日式']",False,19.0,79.0,20.0,5.0,2.9074231521895735,1934
59,李記燒肉,b1ng,2,"['湯品', '便當', '台式']",False,19.0,79.0,20.0,5.0,3.011362465372085,2616
60,台灣第一家鹽酥雞 (斗六成功店),m0gm,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,2.9584614716764586,906
61,韓式厚片煎餅,unj1,2,"['韓式', '湯品', '麵食']",False,19.0,79.0,20.0,10.0,1.4436530622354151,14
62,甘乃滴冷泡飲 (雲林斗六店),ed11,1,['飲料'],False,19.0,79.0,15.0,5.0,1.4699915308010256,39
63,小張食堂 牛肉麵,soy7,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,2.906118231936234,385
64,50嵐 (斗六中山店),dfbr,2,['飲料'],False,19.0,79.0,20.0,5.0,2.8785764345296907,1906
65,劉妹鍋燒意麵 (雲林斗六店),ykz1,2,"['麵食', '台式']",False,19.0,79.0,15.0,5.0,2.2957969677605847,53
66,中華鍋貼.水餃專賣店,d5cz,2,"['湯品', '台式', '餃子']",False,19.0,79.0,20.0,10.0,3.3025088361765076,1998
67,五花馬水餃館 (雲林斗六門市),cz5g,2,"['湯品', '台式', '餃子']",False,19.0,79.0,25.0,10.0,3.42867602253407,801
68,烏弄 (斗六中山店),hppb,2,['飲料'],False,19.0,79.0,15.0,5.0,2.636196164161219,202
69,迷客夏 Milksha (雲林斗六店),smnh,2,['飲料'],False,19.0,79.0,15.0,5.0,2.701221607500464,340
70,慶鴻小籠包,e2wu,2,"['中式', '湯品', '餃子']",False,19.0,79.0,20.0,10.0,3.102725811598331,2230
71,紅磚輕食,q8oy,2,['台式'],False,19.0,79.0,30.0,20.0,3.2858717290926247,2370
72,Pizza Hut必勝客 (雲林斗六店),b1mu,2,"['披薩', '歐美']",False,19.0,79.0,25.0,10.0,3.3748697900992166,4857
73,亞都鐵板燒,a0vh,2,"['鐵板燒', '台式']",False,19.0,79.0,20.0,5.0,3.340016478646833,2634
74,紅麥田炸雞 (斗六鎮南店),oz1x,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,3.1521026789811515,1421
75,順風雞排 ( 雲林斗六店 ),a3cw,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,2.8019546766503867,2681
76,叁記刈包,u8dd,2,['台式'],False,19.0,79.0,20.0,5.0,3.0370181903617337,1774
77,巧之脆中美式炸雞 (斗六總店),nh39,2,"['歐美', '炸雞']",False,19.0,79.0,25.0,15.0,3.2112577328222587,196
78,可不可熟成紅茶 (雲林斗六店),jmbk,1,['飲料'],False,19.0,79.0,20.0,5.0,3.080952718096554,1374
79,九湯屋日式拉麵 (雲林斗六店),b6df,2,"['麵食', '日式']",False,19.0,79.0,20.0,5.0,3.510110748615615,1173
80,爭鮮迴轉壽司 (斗六店),n9rd,2,['日式'],False,19.0,79.0,20.0,5.0,3.1908311840862607,1884
81,小木屋鬆餅 (雲林斗六店),l15b,2,['甜點'],False,19.0,79.0,20.0,10.0,2.9954209444062934,293
82,萬波島嶼紅茶 (斗六民生店),uile,2,['飲料'],False,19.0,79.0,20.0,5.0,2.7608679044306275,522
83,龜記茗品 (斗六中山店),ws13,2,['飲料'],False,19.0,79.0,15.0,5.0,2.6656920753592597,80
84,摩斯漢堡Mos Burger (斗六店),a6ur,2,"['漢堡', '日式']",False,19.0,79.0,30.0,15.0,3.6994975203712217,5583
85,菲比棧複合式餐飲,efn2,2,['台式'],False,19.0,79.0,20.0,10.0,3.384062550889768,292
86,白巷子(斗六中山店),m7uu,2,['飲料'],False,19.0,79.0,20.0,5.0,2.7807985430802247,1730
87,徐魷魚羹,tz8n,1,['台式'],False,19.0,79.0,20.0,5.0,3.3737328513385423,235
88,鬥牛平價牛排 (雲林斗六店),ug3g,2,"['歐美', '牛排']",False,19.0,79.0,20.0,5.0,3.35287133940022,84
89,蔡記 炒飯 炒麵,th2x,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,2.885228297712448,192
90,陳家魯肉飯,x9yz,1,"['湯品', '便當', '台式']",False,19.0,79.0,20.0,5.0,3.6624171440288453,809
91,阿雞師鹹水雞.滷味,l6wn,2,['小吃'],False,19.0,79.0,20.0,10.0,2.78779632009332,699
92,大苑子 (斗六中山店),a4np,2,['飲料'],False,19.0,79.0,15.0,5.0,2.661128381163585,1734
93,斗六一中豪大雞排,a0eo,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,2.9039111439687737,1954
94,斗六東市碳烤,pqnd,2,['小吃'],False,19.0,79.0,25.0,10.0,3.3707763676826668,136
95,紅茶幫 (斗六中山店),d2go,2,['飲料'],False,19.0,79.0,20.0,5.0,3.063518729623719,1733
96,三顧茅廬 (斗六中山店),e5fp,2,['小吃'],False,19.0,79.0,20.0,10.0,2.6419716942566738,918
97,魯都香 (雲林斗六店),qdby,2,['小吃'],True,19.0,79.0,20.0,5.0,3.621430687606953,797
98,餃太郎手工水餃 (雲林斗六店),c1o8,2,['台式'],False,19.0,79.0,20.0,10.0,2.6371718313309884,154
99,全州韓二石-豆腐˙石鍋專門店 (斗六中堅店),b0mm,2,"['韓式', '火鍋']",False,19.0,79.0,30.0,15.0,3.00668730580023,1370
100,圓粥率,e6ds,1,"['湯品', '粥', '台式']",False,19.0,79.0,20.0,5.0,2.78861265317108,1057
101,三商巧福 (4453雲林店),o8ah,2,"['麵食', '台式']",False,19.0,79.0,30.0,20.0,3.358664240810601,1876
102,清原芋圓 (斗六中山店),a7tl,2,['甜點'],False,19.0,79.0,20.0,10.0,2.8800488738357473,2443
103,白巷子 (斗六上海店),f6ra,2,['飲料'],False,19.0,79.0,20.0,5.0,4.113708810067132,2129
104,海富海南雞飯 無刺虱目魚,b9la,2,"['湯品', '便當', '台式']",False,19.0,79.0,20.0,5.0,2.9283301006576874,906
105,大碗公冰·甜品 (雲林斗六店),q4px,2,['甜點'],True,19.0,79.0,20.0,10.0,2.3392733737645157,706
106,冰員手作冰品飲品,s71w,2,['飲料'],False,19.0,79.0,25.0,10.0,2.98431441455231,424
107,久湯鍋 (雲林斗六店),a7iw,2,"['火鍋', '台式']",False,19.0,79.0,30.0,15.0,2.4787827613508897,2103
108,胖老爹美式炸雞 (雲林斗六店),buel,2,"['歐美', '炸雞']",False,19.0,79.0,25.0,10.0,3.5620612193695473,1370
109,拿坡里 (斗六店8319),cb0q,3,"['披薩', '歐美', '炸雞']",False,19.0,79.0,25.0,10.0,2.8209297248723866,1176
110,双十八木 (雲林斗六門市),z33r,2,['飲料'],False,19.0,79.0,20.0,5.0,2.7410063569648546,163
111,新篇章咖啡 Next Chapter,k3rc,2,"['咖啡', '歐美']",False,19.0,79.0,15.0,5.0,2.622982609288827,540
112,饕之鄉小籠湯包 (雲林斗六店),d7cc,2,"['中式', '麵食']",False,19.0,79.0,20.0,5.0,3.4243912148061586,405
113,南投詹意麵,i9xi,1,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,2.7597416395533205,251
114,炸鷄大獅 (雲林雲科店),k8el,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,2.79638926631539,144
115,義泰廚房 (雲林斗六店),b2ef,2,['東南亞'],False,19.0,79.0,20.0,10.0,3.3450476211960947,1815
116,饌品鍋 (雲林斗六店),x608,2,"['火鍋', '台式']",False,19.0,79.0,30.0,20.0,2.5666487866937984,363
117,巴豆夭百元美味鍋物 (雲林雲大店),e7vp,2,"['火鍋', '台式']",False,19.0,79.0,25.0,15.0,2.9372504059312683,362
118,足雞炸物所,mh3r,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,3.4717212268295135,54
119,樸實現炒小吃,b2au,2,"['湯品', '台式']",False,19.0,79.0,30.0,20.0,2.5961606806646955,1377
120,戰鬥雞-油雞/醉雞 輕食 (斗六民生店),tdtl,2,"['健康餐', '台式']",False,19.0,79.0,20.0,5.0,3.5613262888774466,851
121,富美滷味,wmd9,2,['小吃'],False,19.0,79.0,30.0,20.0,2.9113531152953116,153
122,Mr.Wish 鮮果茶玩家 (斗六中山店),b6eh,2,['飲料'],True,19.0,79.0,20.0,5.0,2.8872031582021793,1324
123,肉羹張 (斗六中華店),uey5,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,3.3397143983030197,208
124,綠果子甜品店,a4nl,2,['甜點'],False,19.0,79.0,20.0,10.0,3.64946635437591,1855
125,普通人綠豆沙牛奶,b7yo,2,['飲料'],False,19.0,79.0,20.0,5.0,2.798309411690554,1770
126,冬瓜幫 (雲林斗中店),agwg,1,['飲料'],False,19.0,79.0,20.0,5.0,2.8160459124471724,163
127,85度C (斗六莊敬店),b1kr,2,"['甜點', '咖啡', '蛋糕']",False,19.0,79.0,20.0,5.0,2.781016533464507,1528
128,老東家重慶麻辣鍋,hj49,2,"['中式', '火鍋']",False,19.0,79.0,30.0,15.0,3.005386071472837,145
129,孫東寶 (斗六民生南店),ud2b,2,"['台式', '牛排']",False,19.0,79.0,25.0,10.0,3.246978186084622,338
130,京站滷味,e7gq,2,['小吃'],False,19.0,79.0,20.0,10.0,4.05706487116717,1556
131,初八拉麵 (雲林斗六店),a7zp,2,"['麵食', '日式']",False,19.0,79.0,20.0,5.0,3.9456545264897627,972
132,Andy私房湯 (andy餐酒館),xxks,2,"['湯品', '便當', '麵食', '台式']",False,19.0,79.0,20.0,5.0,3.467574536965803,30
133,老賴茶棧 (斗六民生店),owi6,2,['飲料'],False,19.0,79.0,20.0,5.0,3.6436207261998206,427
134,彭哥雲南米線,ndmt,2,"['中式', '麵食']",False,19.0,79.0,20.0,5.0,3.3499009957805512,86
135,饌囍堂臭臭鍋 (斗六永樂店),b5di,2,"['火鍋', '台式']",False,19.0,79.0,35.0,25.0,3.5117252776934524,1496
136,吳家紅茶冰(斗六成功店),a9id,1,['飲料'],False,19.0,79.0,20.0,5.0,2.796956286142855,853
137,古拉爵 (雲林斗六家樂福店),u2bd,3,"['披薩', '歐美']",False,19.0,79.0,25.0,10.0,3.3402154498731216,952
138,鮮茶道 (斗六雲科店),d6am,1,['飲料'],False,19.0,79.0,20.0,5.0,2.763792806433195,623
139,烙一手好餅,wl5g,2,['中式'],False,19.0,79.0,15.0,5.0,2.725403129536115,29
140,紅茶幫 (斗六中華店),d6be,2,['飲料'],False,19.0,79.0,20.0,5.0,3.402416937391886,774
141,爆Q斗六 (雲林民生店),c8qp,2,"['歐美', '炸雞']",False,19.0,79.0,45.0,30.0,3.346031620923136,1952
142,蔡媽媽刈包,gwm4,2,"['湯品', '小吃']",False,19.0,79.0,20.0,10.0,3.3505226637743566,676
143,桃城雞排 (雲林斗六店),s5pj,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,3.0850371784794817,9
144,逗點綿綿冰,d4bj,1,['甜點'],False,19.0,79.0,20.0,10.0,2.8719465726411277,288
145,品賀手作滷 (雲林斗六店),ku8g,2,['小吃'],False,19.0,79.0,20.0,10.0,2.637466675314703,71
146,亜旭鐵板料理,majp,2,"['鐵板燒', '台式']",False,19.0,79.0,20.0,5.0,3.342494296835812,84
147,哈嘚 (斗六中山店),hl4a,1,['飲料'],False,19.0,79.0,20.0,5.0,2.728948743364513,80
148,大補帖藥燉排骨,vdma,1,"['麵食', '台式']",False,19.0,79.0,20.0,5.0,2.7374335140843784,42
149,養鍋 (雲林斗六店),ihgo,2,"['火鍋', '台式']",False,19.0,79.0,30.0,20.0,2.7258304962439626,86
150,黑甜甜,ulk4,1,['甜點'],False,19.0,79.0,20.0,5.0,2.8037341005270258,21
151,慕田御,kmsd,2,"['麵食', '火鍋', '台式']",False,19.0,79.0,30.0,20.0,2.6431289667593147,56
152,彭記 開心花甲粉,e5n2,2,"['小吃', '餃子']",False,19.0,79.0,20.0,10.0,3.3467977678913603,74
153,馬沙義大利麵館,a5ca,2,"['歐美', '麵食']",False,19.0,79.0,20.0,5.0,3.338275906022877,330
154,Food One餐酒館,a8ep,2,"['歐美', '麵食']",False,19.0,79.0,25.0,15.0,2.9882070472957345,600
155,忻欣魯味,urqj,2,['小吃'],False,19.0,79.0,20.0,10.0,2.751106028097718,16
156,轉角巷飲料店,c1ya,2,['飲料'],False,19.0,79.0,20.0,5.0,3.1577992211335117,182
157,湘湘優格feat樂。茶坊 (斗六民生南店),azcs,2,['甜點'],False,19.0,79.0,20.0,5.0,2.804057455907774,50
158,5+1賢好味,ghec,2,"['麵食', '台式']",False,19.0,79.0,20.0,10.0,3.4288615184146565,18
159,達美樂 (斗六鎮南店),j1fe,3,"['披薩', '歐美']",False,30.0,199.0,35.0,25.0,2.80864961703069,951
160,老王蛤仔麵,ro1i,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,2.9259750775961675,98
161,KING 皇家—斗六創始店,ptfs,2,['甜點'],False,19.0,79.0,20.0,10.0,2.7252943319277665,219
162,花好月圓(斗六中山店),ydj9,1,['飲料'],False,19.0,79.0,20.0,10.0,2.8380203174048853,211
163,酒窩焼き鳥,rzt7,2,['小吃'],False,19.0,79.0,20.0,10.0,2.775344989757091,46
164,鐵町Tie Ting心作鐵板料理,b1pv,2,"['鐵板燒', '台式']",False,19.0,79.0,30.0,20.0,3.3638480037248426,1006
165,蓬萊生炒鱔魚麵,h21e,2,"['麵食', '台式']",False,19.0,79.0,30.0,15.0,3.101238654078859,25
166,5+1牛得好牛肉麵,zst8,2,"['麵食', '台式']",False,19.0,79.0,30.0,15.0,3.4204663562576005,42
167,木昂手作 (斗六六合店),uedb,2,['飲料'],False,19.0,79.0,20.0,10.0,2.9796751446087764,25
168,五鮮級平價鍋物 (雲林斗六店),vax8,2,"['火鍋', '台式']",False,19.0,79.0,35.0,20.0,3.0007690731103085,553
169,就是。厚片,feig,1,['甜點'],False,19.0,79.0,25.0,15.0,2.8380203174048853,23
170,淺草6號,l5ex,2,"['麵食', '台式']",False,19.0,79.0,35.0,20.0,3.450814678448139,261
171,鐵娘子極品鍋物,pb7o,2,"['火鍋', '台式']",False,19.0,79.0,30.0,15.0,2.9777770427386825,105
172,熱海精緻火鍋,ypxd,2,"['火鍋', '台式']",False,19.0,79.0,20.0,10.0,2.4284073071684618,21
173,宵夜食堂,uyln,2,"['湯品', '台式']",False,19.0,79.0,25.0,15.0,2.878192313358781,5
174,懶得煮,mx4j,1,"['麵食', '台式']",False,19.0,79.0,25.0,10.0,3.372742572381669,151
175,一合相素食,f9ft,1,"['湯品', '麵食', '素食']",False,19.0,79.0,40.0,25.0,3.3058357509876566,992
176,大手前鐵板燒 (雲林斗六店),h0ut,3,"['鐵板燒', '台式']",False,19.0,79.0,25.0,10.0,3.3601180793499763,508
177,唐太盅養生燉品甜湯 (雲林斗六店),wdfw,2,['中式'],False,19.0,79.0,25.0,15.0,3.2139115374370455,209
178,小豬麵食館,bhuv,2,"['麵食', '台式', '餃子']",False,19.0,79.0,20.0,10.0,3.518149744019166,6
179,圓環炸雞,j958,2,"['小吃', '炸雞']",False,19.0,79.0,30.0,15.0,3.6415665001335946,4
180,樂三三鍋物,bvb1,2,"['火鍋', '日式']",False,19.0,79.0,40.0,25.0,3.370686812154647,79
181,吳家紅茶冰 (斗六中華店),fy33,1,['飲料'],False,19.0,79.0,20.0,5.0,3.4926936749333666,1
182,M2精品咖啡館,aea3,2,"['咖啡', '蛋糕', '歐美']",False,19.0,79.0,25.0,15.0,3.371325480348144,32
183,火鍋世家 (雲林斗六尊爵店),c15c,2,"['火鍋', '台式']",False,19.0,79.0,35.0,20.0,3.770007604169386,55
184,寒舍溫馨,avfd,2,"['麵食', '火鍋', '粥', '台式']",False,19.0,79.0,25.0,15.0,3.7360250502841605,9
185,58清粥小菜,peo4,2,"['便當', '台式']",False,19.0,79.0,25.0,10.0,3.6254859156957338,2
186,宅豆花甜品專賣店 (雲林斗六店),k215,1,['甜點'],False,19.0,79.0,25.0,10.0,3.02549498845959,0
187,半個鍋 (斗六成功店),rc1d,2,"['火鍋', '台式']",False,19.0,79.0,45.0,35.0,2.938777154377723,11
188,茶太陽 (斗六大崙仁義店),u4yu,1,['飲料'],False,19.0,79.0,15.0,10.0,1.445788407232391,653
189,STARBUCKS 星巴克 (斗六中正門市),f7qt,2,"['歐美', '飲料']",False,19.0,79.0,15.0,5.0,2.3597274502639394,1298
190,水云茶堂阿里山鐵道紅茶 (雲林斗六店),e6sr,1,['飲料'],False,19.0,79.0,15.0,5.0,2.624982486362029,502
191,五美茶 手抄蔗糖 旺萊糖專賣店 (雲林斗六店),idro,2,['飲料'],False,19.0,79.0,15.0,5.0,2.7244204985524183,241
192,黑紅茶冰 (中山總店),ljel,1,['飲料'],False,19.0,79.0,15.0,5.0,3.0069308058504487,255
193,陳飲CHECKIN,a0wp,2,['飲料'],False,19.0,79.0,20.0,5.0,2.644729502482049,1953
194,小茶齋 (雲林斗六店),l3ru,2,['飲料'],False,19.0,79.0,20.0,5.0,2.7946584761747575,3064
195,珍煮丹 (雲林斗六店),camg,2,['飲料'],False,19.0,79.0,20.0,5.0,2.798025985528656,305
196,好手沏 手搖飲專賣店 (斗六總店),fwfn,2,['飲料'],False,19.0,79.0,20.0,5.0,2.8162462314345578,215
197,善水堂手作茶飲,a2vo,1,['飲料'],False,19.0,79.0,20.0,5.0,2.824428098700592,1576
198,萃堤Tree Tea,s9hs,1,['飲料'],False,19.0,79.0,20.0,10.0,2.8280408222298132,762
199,紅茶洋行 (雲林府文店),a4sr,1,['飲料'],False,19.0,79.0,20.0,5.0,2.9523035534800126,862
200,好了啦紅茶冰（斗六家樂福店雲林路上）,gfxl,1,['飲料'],False,19.0,79.0,20.0,5.0,3.425121490021922,27
201,茶太陽 (斗六中正店),e1xt,1,['飲料'],False,19.0,79.0,20.0,5.0,3.4573532525831605,731
202,自然梅茶飲,b0pg,1,['飲料'],False,19.0,79.0,25.0,10.0,3.1159082956403887,110
203,夏客手作茶飲,b7zw,1,['飲料'],False,19.0,79.0,20.0,5.0,3.5720167671595213,883
204,TEATOP 第一味 (斗六鎮南店),vsmh,1,['飲料'],False,19.0,79.0,25.0,10.0,3.1280795562707886,0
205,小雀幸,sbim,2,['飲料'],False,19.0,79.0,20.0,5.0,3.7891633535229103,510
206,斗六湯包店,cjtu,1,"['中式', '湯品', '麵食']",False,19.0,79.0,25.0,15.0,3.7758217383344848,0
207,暮香炭烤土司 (斗六龍潭店),a1hj,1,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,2.886978542764691,2037
208,管家婆食化堂,jj28,2,"['麵食', '台式']",False,19.0,79.0,40.0,15.0,3.0456703413506214,215
209,晨安美好早餐店,b7hf,2,"['早餐', '歐美']",False,19.0,79.0,40.0,10.0,3.783047637232928,2549
210,吳師傅恩典廚房,e9oo,2,"['麵食', '港式']",False,19.0,79.0,40.0,10.0,3.603315061054053,3555
211,A-bao阿寶早午餐 (斗六莊敬店),b3se,2,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,2.7116797386987392,2773
212,元帥早餐店,d30z,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,2.31630027020975,196
213,呷尚寶 (雲林成功店),fjxs,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,3.3158054483455865,329
214,弘爺漢堡 (雲林崙峯店),e1yr,2,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,1.455124599803347,285
215,活力永早餐店,f8av,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,3.143091543522351,3275
216,科大早餐車,b9ek,1,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,2.554352173027613,1029
217,拉亞漢堡 (斗六民生店),d9nv,2,"['早餐', '歐美']",False,19.0,79.0,40.0,10.0,2.762722141022735,1361
218,澄食晨食 (斗六中堅西店),n5di,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,3.007984112028234,2024
219,晨間廚房 (斗六中山店),b3kp,2,"['早餐', '歐美']",True,19.0,79.0,40.0,10.0,2.595201948331956,733
220,亞薩漢堡 (雲林中華店),n8gz,1,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,3.334784658272414,1324
221,早安美芝城 (斗六活力鎮東店),d0ij,2,"['早餐', '台式']",True,19.0,79.0,40.0,10.0,3.0479934157379875,1259
222,早安山丘莊敬店,we89,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,2.73766565631784,769
