,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
48,元爵味黃燜雞米飯 (台北廈門店),lgbr,2,['中式'],False,29.0,79.0,30.0,5.0,1.8328674653883563,196
49,肯德基KFC炸雞漢堡店 (台北萬大店),z1xd,2,"['甜點', '漢堡', '歐美', '炸雞']",True,28.0,79.0,25.0,5.0,0.45669020742322364,2883
50,龍鹽酥雞 (台北萬華店),x5dx,2,['小吃'],False,28.0,79.0,30.0,10.0,0.5675480599617734,593
51,七盞茶 (萬華西園店),r9zf,2,['飲料'],False,28.0,79.0,30.0,5.0,0.8490160107367439,875
52,四方阿九魯肉飯 (台北萬華店),f2sq,2,"['湯品', '麵食', '台式']",False,28.0,79.0,30.0,5.0,1.7230632120483012,2421
53,辣妞妞麻辣燙 (台北南機場總店),y5cv,2,['小吃'],False,28.0,79.0,30.0,5.0,1.0273925617460953,4905
54,上紅小火鍋 (萬華雙園店),y1wc,2,"['火鍋', '台式']",False,28.0,79.0,40.0,15.0,1.0950028819952073,4957
55,懿品小珍.涼麵.涼皮.麻辣湯品專賣店,z0bv,2,"['湯品', '麵食', '台式']",False,9.0,79.0,30.0,5.0,1.941642539456073,1946
56,德興廣東粥,d2qo,2,"['中式', '粥']",False,28.0,79.0,30.0,5.0,1.0736622112705467,2076
57,我就厲害 (西門珍饌店),ux9s,2,['日式'],False,29.0,79.0,40.0,10.0,2.4994388609738216,164
58,艋舺柳州螺螄粉,k8tg,2,"['中式', '麵食']",False,29.0,79.0,30.0,5.0,1.7118796193933206,5681
59,麥當勞 (S508 台北萬大二店),x7ww,2,"['漢堡', '歐美']",False,28.0,79.0,30.0,10.0,0.6355193190797295,5441
60,雙和豆漿 (萬華東園店),n0kj,2,['小吃'],False,28.0,79.0,30.0,5.0,0.8297534997184839,2490
61,職人丼深夜食堂 (台北萬華店),lpt7,2,['日式'],False,29.0,79.0,30.0,5.0,0.7801534569156744,411
62,AP203Bar熱壓三明治廚房 (台北萬大A店),knzx,2,"['麵食', '台式', '三明治 / 吐司']",False,29.0,79.0,25.0,10.0,0.02504722668420118,82
63,八方雲集 (萬華西園店),b5to,2,"['台式', '餃子']",False,28.0,79.0,30.0,10.0,0.9864192633303459,1565
64,嚼對牛牛排館,c4al,2,"['台式', '牛排']",False,28.0,79.0,30.0,5.0,1.0206479508660298,1389
65,牛排工廠 (南機場總店),l5za,2,"['台式', '牛排']",False,28.0,79.0,30.0,5.0,1.0455952021485855,1037
66,九湯屋日式拉麵 (萬華西藏店),z0wp,2,"['麵食', '日式']",False,28.0,79.0,30.0,5.0,0.9223717275723686,1888
67,胖媽大塊牛肉麵,i6ay,2,"['麵食', '台式']",False,28.0,79.0,30.0,5.0,1.0248067005217534,1183
68,空杯 (台北青年店),s62e,2,['歐美'],False,28.0,79.0,25.0,5.0,0.3124054000413378,594
69,怪獸小雞排 (台北萬大店),okb7,2,"['小吃', '炸雞']",False,28.0,79.0,30.0,10.0,0.9757336661249955,482
70,馬祖麵館 (台北南海店),m7bf,2,"['湯品', '麵食', '台式']",False,9.0,79.0,30.0,5.0,2.2041118054688207,3978
71,清心福全 (台北康定店),z0wn,2,['飲料'],False,28.0,79.0,30.0,5.0,1.6103930941994988,2077
72,Pizza Hut必勝客 (萬大外送店),z6qs,2,"['披薩', '歐美']",False,28.0,79.0,30.0,10.0,0.6694283408356384,1957
73,中興手工養生甜品-仙草弟弟之家,b2qb,2,['甜點'],False,28.0,79.0,35.0,15.0,1.0413888239812628,2975
74,雞sir's鹹水雞 (萬華萬青店),d8ru,2,['小吃'],False,28.0,79.0,25.0,5.0,0.2401337977576376,1930
75,南機場夜市ㄙㄨㄚ、嘴涼滷味,p6aa,2,['小吃'],False,28.0,79.0,30.0,5.0,1.0677469403884285,614
76,兩喜號Liang Xi Hao (西園店Xiyuan Store),v2sp,2,"['麵食', '台式']",False,28.0,79.0,40.0,15.0,1.6642360679305186,2005
77,50嵐 (寶興店),d3ks,2,['飲料'],False,29.0,79.0,25.0,5.0,0.7956384805761447,2180
78,大苑子 (台北南昌店),z0yd,2,['飲料'],False,29.0,79.0,30.0,5.0,2.0734138046475383,3982
79,萬華莊家班麻油雞 (台北南機場店),u2pp,2,"['麵食', '台式']",True,28.0,79.0,35.0,15.0,1.010713490267532,2319
80,竹林上禾便當,e8qe,2,"['便當', '台式']",False,29.0,79.0,35.0,5.0,2.142036994606782,4981
81,古亭廣東粥,d3ax,2,"['中式', '粥']",False,9.0,79.0,35.0,5.0,2.3071810085493945,3668
82,源士林粥品 (台北和平店),l7ll,2,"['粥', '台式']",False,28.0,79.0,30.0,5.0,1.6222278144436788,1616
83,bb.q CHICKEN (南昌聯合店),q2mu,3,"['韓式', '炸雞']",False,9.0,79.0,35.0,10.0,2.109966970509786,3521
84,胖老爹美式炸雞 (台北萬華東園店),z7rb,2,"['歐美', '炸雞']",False,29.0,79.0,35.0,15.0,0.6087469396050036,1677
85,東山快炒 飯麵家常熱炒專售,nbsa,2,"['麵食', '台式']",False,29.0,79.0,40.0,15.0,1.562448870525257,641
86,迷客夏 Milksha (臺北南昌店),a8dp,2,['飲料'],False,29.0,79.0,30.0,5.0,2.097356818735304,3318
87,梁社漢排骨 (西園店),e0tf,2,"['便當', '台式']",False,28.0,79.0,30.0,5.0,0.9111018642541859,1917
88,康青龍 (萬華東園店),d2xz,2,['飲料'],False,28.0,79.0,25.0,5.0,0.5252280437505769,1419
