,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
43,大嘴巴牛排館 (台北石牌店),d5qg,2,"['台式', '牛排']",False,29.0,79.0,20.0,5.0,1.1381207554660975,1620
44,Pizza Hut必勝客 (天母外送店),z6am,2,"['披薩', '歐美']",False,29.0,79.0,25.0,10.0,0.4742375381979881,2107
45,50嵐 (天母店),d9ls,2,['飲料'],False,29.0,79.0,20.0,5.0,0.14718192055151916,2316
46,吳家豆漿,o6f5,2,['小吃'],False,29.0,79.0,25.0,10.0,1.2554155932305215,1546
47,天母古早味切仔麵達人,eqn3,2,"['湯品', '麵食', '台式']",False,29.0,79.0,20.0,10.0,0.2322722103235841,455
48,芊芊素食(素滷味)健康廚房,brc4,2,"['麵食', '小吃']",False,29.0,79.0,30.0,10.0,2.534818142588649,74
49,東京都拉麵館 X JK廚房 (Just Kitchen 士林店),i2il,2,"['麵食', '日式']",False,29.0,79.0,25.0,5.0,1.8364339292913352,668
50,孫東寶 (士林天母店),ybx3,2,"['台式', '牛排']",False,29.0,79.0,25.0,10.0,0.16099408731274292,423
51,日上鐵板燒,rk92,2,"['鐵板燒', '台式']",False,29.0,79.0,35.0,10.0,3.52448700410708,551
52,炸G行家 (台北石牌店),xm3m,2,"['小吃', '炸雞']",False,29.0,79.0,25.0,5.0,2.010867877725929,139
53,佳佳佳石頭火鍋-嚴選湯頭,ms7y,2,"['火鍋', '台式']",False,29.0,79.0,35.0,15.0,1.2796123893692302,72
54,晴天基隆營養三明治,zs8b,2,"['小吃', '三明治 / 吐司']",False,29.0,79.0,40.0,20.0,3.3528467335861327,104
55,三顧茅廬 (台北天母東店),v650,2,['小吃'],False,29.0,79.0,25.0,10.0,0.6131864605191224,26
56,芭樂先生 (台北士林店),f321,2,['甜點'],False,29.0,79.0,35.0,10.0,3.3851532471581876,13
57,仙客來海鮮餐廳,gbgb,3,['台式'],False,29.0,79.0,25.0,5.0,1.4706936530524268,36
58,頂呱呱TKK (士林劍潭店),pdl3,2,"['歐美', '炸雞']",False,29.0,79.0,30.0,5.0,3.9940292309075054,312
59,好奇營養豆花 (台北天母店),h3iv,2,['甜點'],False,29.0,79.0,25.0,10.0,1.3172977652803923,617
60,高記茶莊,t8f6,2,['飲料'],False,29.0,79.0,25.0,5.0,2.795516071815485,556
61,大邱大叔 밥짓는삼촌,x4rr,3,"['韓式', '炸雞']",False,29.0,79.0,30.0,15.0,1.6692631400323064,815
62,德州美墨炸雞 (台北天母店),p5ur,2,"['歐美', '炸雞']",False,29.0,79.0,20.0,5.0,0.444582589714998,4375
63,新婦海南雞飯,kb26,2,"['便當', '東南亞']",False,29.0,79.0,20.0,5.0,1.3495753364726168,348
64,士林十全排骨店,p7xk,2,['台式'],False,29.0,79.0,30.0,5.0,3.5193279628488683,2887
65,忠誠號蚵仔煎 (台北士林店),nwft,2,['台式'],False,29.0,79.0,30.0,5.0,3.5554897134224177,186
66,台南東區焦糖煉乳包心粉圓 (台北士林店),z7b8,1,['甜點'],False,29.0,79.0,45.0,20.0,3.2764561396879714,232
67,阿亮麵線,p9yx,1,"['麵食', '小吃']",False,29.0,79.0,30.0,5.0,3.3750525394921413,671
68,すき家 Sukiya (天母高島屋前店),a3wi,2,"['便當', '日式']",False,29.0,79.0,20.0,5.0,0.8966943370881256,7224
69,麥當勞 (S78 台北石牌店),g2of,2,"['漢堡', '歐美']",False,29.0,79.0,25.0,10.0,1.0216018611164268,8963
70,劉媽媽抄手大滷麵 (台北天母店),y9lz,2,"['湯品', '麵食', '台式']",False,29.0,79.0,15.0,5.0,0.04783299029619964,2563
71,二子山拉麵部屋 (天母總店),czj1,2,"['麵食', '日式']",False,29.0,79.0,20.0,5.0,0.4829757753600809,1666
72,YU丼飯(石牌總店),z7sq,2,"['便當', '日式']",False,29.0,79.0,25.0,5.0,1.1888084966536439,5233
73,皇家比薩,z9qt,2,"['披薩', '歐美']",False,29.0,79.0,25.0,5.0,1.2763026180664547,6262
74,韓吃餐飲舖,t4be,2,"['韓式', '麵食']",False,29.0,79.0,20.0,5.0,0.20867655929261905,1675
75,鬍鬚張魯肉飯 (台北天母店),blmx,2,"['便當', '台式']",False,29.0,79.0,20.0,5.0,0.43732730579827483,1672
76,大苑子 (台北天母店),a9ch,2,['飲料'],False,29.0,79.0,20.0,5.0,0.20685563203449903,3416
77,馬祖麵館 (台北石牌店),ner5,2,"['湯品', '麵食', '台式']",False,29.0,79.0,20.0,5.0,1.0348083918695135,853
78,三顧茅廬 (天母士東店),b1kb,2,['小吃'],False,29.0,79.0,25.0,10.0,0.8847070534523762,3741
79,狂野韓式炸雞,kpfm,2,"['韓式', '炸雞']",False,29.0,79.0,20.0,5.0,1.1294300422828796,1126
80,八方雲集 (士林德東店),d0zm,2,"['台式', '餃子']",False,29.0,79.0,20.0,5.0,1.286114486724724,2887
81,五桐號 (台北石牌店),tky2,2,['飲料'],False,29.0,79.0,20.0,5.0,1.1993522918154875,262
82,龜記茗品 (北投石牌店),wxix,2,['飲料'],False,29.0,79.0,20.0,5.0,1.0392850728153311,1980
83,2派克脆皮雞排 (北投石牌店),a7hc,2,"['小吃', '炸雞']",False,29.0,79.0,25.0,10.0,1.093977512722952,4462
84,維縈家鄉碳烤雞排 天母店,w7x7,2,"['小吃', '炸雞']",False,29.0,79.0,20.0,10.0,0.329286960304368,513
85,Green Table 健康低卡廚房,r5k7,2,"['便當', '健康餐']",False,29.0,79.0,20.0,5.0,0.5723602883450217,728
86,紅心台越料理,uaut,2,['東南亞'],False,29.0,79.0,20.0,5.0,0.7878666977382358,214
87,男子漢拉麵 (天母德行店),a1il,2,"['麵食', '日式']",False,29.0,79.0,25.0,5.0,1.285846926209318,2397
88,長鴻丼屋,e9ff,2,"['麵食', '日式']",False,29.0,79.0,20.0,5.0,0.7675096115459996,1088
89,韓國叔叔 (北投石牌總店),e4hu,2,['韓式'],False,29.0,79.0,20.0,5.0,1.1529936107608025,3728
90,大嘴巴牛排館 (台北石牌店),d5qg,2,"['台式', '牛排']",False,29.0,79.0,20.0,5.0,1.1381207554660975,1620
91,Pizza Hut必勝客 (天母外送店),z6am,2,"['披薩', '歐美']",False,29.0,79.0,25.0,10.0,0.4742375381979881,2107
92,50嵐 (天母店),d9ls,2,['飲料'],False,29.0,79.0,20.0,5.0,0.14718192055151916,2316
93,吳家豆漿,o6f5,2,['小吃'],False,29.0,79.0,25.0,10.0,1.2554155932305215,1546
94,天母古早味切仔麵達人,eqn3,2,"['湯品', '麵食', '台式']",False,29.0,79.0,20.0,10.0,0.2322722103235841,455
95,摩斯漢堡Mos Burger (台北天母店),hzsv,2,"['漢堡', '日式']",False,29.0,79.0,30.0,15.0,0.3210570767088952,836
96,大戶屋 (大葉高島屋店),x3nk,3,"['便當', '日式']",False,29.0,79.0,25.0,10.0,0.9892882417689484,1178
97,迷客夏 Milksha (台北石牌店),lee0,2,['飲料'],False,29.0,79.0,20.0,5.0,1.0939490246453796,225
98,大發生猛海鮮,f5xy,3,"['湯品', '便當', '台式']",False,29.0,79.0,25.0,5.0,1.2398402087724891,1928
99,欲罷不能鹹水雞 (北投明德店),z9ui,2,['小吃'],False,29.0,79.0,20.0,5.0,1.2485547783936155,3554
100,滿川香麻辣燙,p9dv,2,['小吃'],False,29.0,79.0,25.0,5.0,1.8575912680204663,1368
101,吉野家 Yoshinoya (台北石牌店),x4fk,2,"['便當', '日式']",False,29.0,79.0,20.0,5.0,1.1785819441578513,4399
102,喜喜鍋 • 煮好鍋專賣店 (石牌),ek9f,2,"['火鍋', '台式']",False,29.0,79.0,35.0,15.0,1.6744343722742716,1949
103,和記,q1ej,2,"['湯品', '便當', '台式']",False,29.0,79.0,20.0,5.0,0.5396589822754032,1221
